start.12,salesman.4,Venta,client.4,end.12,Pago Posterior,Terminada
start.12,salesman.4,Venta,client.4,end.12,Pago Posterior,Terminada
start.12,salesman.5,Prestamo,client.80,end.12,Pago Posterior,Terminada
start.12,salesman.7,Retiro,client.181,end.12,Pago Contra Entrega,Terminada
start.12,salesman.4,Retiro,client.4,end.12,Pago Posterior,Terminada
start.12,salesman.7,Venta,client.279,end.12,Pago Posterior,Terminada
start.12,salesman.5,Venta,client.117,end.12,Pago Posterior,Terminada
start.12,salesman.5,Venta,client.117,end.12,Pago Posterior,Terminada
start.12,salesman.7,Venta,client.61,end.12,Pago Contra Entrega,Terminada
start.12,salesman.5,Soporte,client.211,end.12,Pago ya Efectuado,Terminada
start.12,salesman.5,Venta,client.38,end.12,Pago Posterior,Terminada
start.12,salesman.5,Venta,client.220,end.12,Pago Posterior,Terminada
start.12,salesman.7,Venta,client.117,end.12,Pago Posterior,Terminada
start.12,salesman.5,Retiro,client.183,end.12,Pago ya Efectuado,Terminada
start.12,salesman.14,Venta,client.242,end.12,Pago Posterior,Terminada
start.12,salesman.7,Retiro,client.80,end.12,Pago Contra Entrega,Terminada
start.12,salesman.4,Venta,client.116,end.12,Pago Posterior,Terminada
start.12,salesman.7,Venta,client.3,end.12,Pago Contra Entrega,Terminada
start.12,salesman.15,Venta,client.252,end.12,Pago Contra Entrega,Terminada
start.12,salesman.5,Venta,client.49,end.12,Pago Posterior,Terminada
start.12,salesman.4,Prestamo,client.272,end.12,Pago Posterior,Terminada
start.12,salesman.5,Venta,client.111,end.12,Pago Posterior,Terminada
start.12,salesman.4,Venta,client.280,end.12,Pago Posterior,Terminada
start.12,salesman.4,Soporte,client.27,end.12,Pago Posterior,Terminada
start.12,salesman.7,Retiro,client.135,end.12,Pago Contra Entrega,Terminada
start.12,salesman.5,Venta,client.78,end.12,Pago Posterior,Terminada
start.12,salesman.4,Venta,client.96,end.12,Pago Posterior,Anulada
start.12,salesman.4,Venta,client.4,end.12,Pago Posterior,Terminada
start.12,salesman.4,Venta,client.4,end.12,Pago Posterior,Terminada
start.12,salesman.7,Retiro,client.68,end.12,Pago Contra Entrega,Terminada
start.12,salesman.5,Venta,client.187,end.12,Pago Contra Entrega,Terminada
start.12,salesman.5,Venta,client.84,end.12,Pago Posterior,Terminada
start.12,salesman.4,Venta,client.4,end.12,Pago Posterior,Terminada
start.12,salesman.14,Retiro,client.259,end.12,Pago Posterior,Terminada
start.12,salesman.5,Soporte,client.211,end.12,Pago ya Efectuado,Terminada
start.12,salesman.5,Venta,client.10,end.12,Pago Contra Entrega,Terminada
start.12,salesman.5,Venta,client.80,end.12,Pago Posterior,Terminada
start.12,salesman.15,Venta,client.41,end.12,Pago Posterior,Terminada
start.12,salesman.15,Retiro,client.271,end.12,Pago Posterior,Terminada
start.12,salesman.15,Prestamo,client.278,end.12,Pago Posterior,Terminada
start.12,salesman.5,Venta,client.220,end.12,Pago Contra Entrega,Terminada
start.12,salesman.4,Venta,client.4,end.12,Pago Posterior,Terminada
start.12,salesman.4,Venta,client.4,end.12,Pago Posterior,Terminada
start.12,salesman.4,Venta,client.4,end.12,Pago Posterior,Terminada
start.12,salesman.4,Venta,client.235,end.12,Pago Posterior,Terminada
start.12,salesman.14,Retiro,client.242,end.12,Pago Posterior,Terminada
start.12,salesman.5,Venta,client.211,end.12,Pago Contra Entrega,Terminada
start.12,salesman.4,Venta,client.116,end.12,Pago Posterior,Anulada
start.12,salesman.5,Venta,client.187,end.12,Pago Contra Entrega,Terminada
start.12,salesman.4,Venta,client.116,end.12,Pago Posterior,Terminada
start.12,salesman.7,Retiro,client.267,end.12,Pago Contra Entrega,Terminada
start.12,salesman.5,Prestamo,client.111,end.12,Pago Posterior,Terminada
start.12,salesman.7,Venta,client.168,end.12,Pago ya Efectuado,Terminada
start.12,salesman.5,Retiro,client.112,end.12,Pago Posterior,Terminada
start.12,salesman.4,Venta,client.68,end.12,Pago Posterior,Terminada
start.12,salesman.5,Venta,client.180,end.12,Pago Posterior,Terminada
start.12,salesman.14,Retiro,client.253,end.12,Pago Posterior,Terminada
start.12,salesman.15,Venta,client.282,end.12,Pago Posterior,Terminada
start.12,salesman.5,Venta,client.281,end.12,Pago Contra Entrega,Terminada
start.12,salesman.14,Venta,client.49,end.12,Pago Posterior,Terminada
start.12,salesman.7,Venta,client.3,end.12,Pago Contra Entrega,Terminada
start.12,salesman.4,Venta,client.124,end.12,Pago Posterior,Terminada
